Symbol,Name,Differentiation,Cost leadership,Efficiency,Novelty
GPN,Global Payments,75.88483105025136,36.919377964225966,46.367124338872,65.91406639317451
GL,Globe Life,25.96549635242684,74.950190605487,73.87803162094848,44.72108006000005
GS,Goldman Sachs,31.024768162815484,68.47518352184942,79.39165806573672,44.27220499413357
HPE,Hewlett Packard Enterprise,75.85631115512182,41.47705088308637,39.94962257528559,73.28405521336863
HON,Honeywell,62.4853229233071,62.12372247695049,62.079745631319796,45.13567272810624
HWM,Howmet Aerospace,56.58083532503896,73.9225375827528,68.88277890481702,45.19491649651647
HPQ,HP,73.75295516541233,36.967301498571125,45.92281448223498,74.01086671932865
HBAN,Huntington Bancshares,34.40335595451832,63.463538968863205,78.91693677524785,52.03322078212996
HII,Huntington Ingalls Industries,59.65896545977425,71.80785406919375,67.27912557728511,53.874057413624584
IBM,IBM,81.85525201903737,36.76067134002322,36.98639585607983,71.17345240441794
IEX,IDEX Corporation,56.39814452582259,70.35091192927469,63.31183847056444,41.495936575273284
INFO,IHS Markit,57.42972225745344,74.35546788700543,62.24593377109686,40.24159812403943
ITW,Illinois Tool Works,64.8869020949865,73.0485783453841,74.32795152395097,59.447611408258595
IR,Ingersoll Rand,53.601165758185616,74.98032499040139,64.688747653151,44.01089689097115
INTC,Intel,70.42448721585994,44.55417840384288,41.44165474143417,73.15229733069638
ICE,Intercontinental Exchange,39.02878458305372,58.8465912242718,70.20986462736202,56.07935025116507
INTU,Intuit,80.78301049834285,33.552720886529755,29.670997069069244,76.27158290718519
IVZ,Invesco,33.82606445039768,69.6591365576168,75.41399180387025,48.87354220391112
IPGP,IPG Photonics,86.17072327365835,29.7511320517163,29.08806361532148,80.46666095165958
JBHT,J. B. Hunt,62.038010540977744,68.8406775959556,62.54790785207701,45.50411334294488
JKHY,Jack Henry & Associates,70.96366131505106,44.56786062126358,39.66426908917332,67.04051767125486
J,Jacobs Engineering Group,63.27238389608328,66.23528088795635,61.14707138253081,57.78054944141418
JCI,Johnson Controls,57.33563051969641,68.63117540446189,64.51101856974903,50.08115634496194
JPM,JPMorgan Chase,29.063885162190385,72.25613071661338,75.80221624643063,41.506940870160506
JNPR,Juniper Networks,72.3629405452671,46.39646801710543,46.140927997402606,70.10359673880558
KSU,Kansas City Southern,56.23394191900825,78.06405806991857,68.38314530444087,41.28945890105886
KEY,KeyCorp,31.71311638782247,68.94220826231432,81.0959250697991,42.00494259778314
KEYS,Keysight Technologies,72.95165641159977,47.32808945222472,41.047145623721306,68.97197086204345
KLAC,KLA Corporation,78.3057285363627,36.437235995360574,37.680937586152766,77.11273611089257
LHX,L3Harris Technologies,56.55140295509705,75.37447381675462,72.2709745031625,42.80287344605909
LRCX,Lam Research,76.30588906980964,39.824105551555924,43.87306730821168,70.54355934816766
LDOS,Leidos,54.13022059856134,76.8389579653412,63.868927502845125,47.686999019343716
LNC,Lincoln National,41.31618698984591,66.39495979985972,68.73012516251478,52.88867845593598
LMT,Lockheed Martin,50.4909025241508,73.71520172633242,71.10619998429819,40.6748758006914
L,Loews Corporation,29.507796652562188,76.97938182330223,76.18782170645731,43.34704150515267
MTB,M&T Bank,23.51513193850713,78.18526755918208,83.60649650363777,41.42473292622704
MKTX,MarketAxess,23.969790001346887,73.17988801277485,77.40031777636688,41.200450469677115
MMC,Marsh & McLennan,43.7114948302257,60.77046290457271,63.14610477128359,55.12417668680672
MAS,Masco,53.03997264920944,73.65858619407959,69.41859271711762,42.37391790244374
MA,Mastercard,83.72316615012011,35.361615097943115,30.20811681006137,82.98204539073369
MET,MetLife,33.96080433383776,68.21746903072608,71.73189697056263,46.68498910780189
MCHP,Microchip Technology,83.12505625592449,41.4602364151392,35.370269892244096,82.45824441061436
MU,Micron Technology,81.23555173404151,36.0726154544178,39.1064727837768,76.98953163428355
MSFT,Microsoft,81.16259358292619,33.6313543235832,34.09083106829498,70.26108751362761
MPWR,Monolithic Power Systems,83.51880443180147,32.23408086608812,36.150453311425,75.88721232416923
MCO,Moody's Corporation,30.739586777043453,71.49175185516121,79.6757781193705,42.54973479889985
MS,Morgan Stanley,29.94288035694924,68.88678508584306,72.65025692698526,39.1361841237992
MSI,Motorola Solutions,83.67235654755481,35.45815808819047,31.83571877693197,81.47286351967419
MSCI,MSCI,35.54093122123705,63.81384479131295,70.0646261860439,47.50173518868589
NDAQ,Nasdaq,43.43822399699875,64.71637915935773,60.98251946482036,49.138319226231246
NTAP,NetApp,77.84818818398072,41.53201889429378,36.99311483001265,74.1186915246072
NLSN,Nielsen Holdings,55.10987699905581,73.45319603269922,63.51107920650903,42.058357707953974
NSC,Norfolk Southern,58.00304196149159,71.17116813666149,60.93628185286159,43.37367434990624
NTRS,Northern Trust,23.40667367206359,73.90796743931074,76.07245523163482,34.67197715894474
NOC,Northrop Grumman,54.647823564025096,67.96406943327906,72.37990875993137,47.37832252470298
NLOK,NortonLifeLock,86.85678844989467,27.197720495612295,36.6105746935746,80.41030247286199
NVDA,Nvidia,72.52465212328623,43.95756196184272,38.87289101980029,59.95721716254819
NXPI,NXP,71.5968201128452,45.8367653792736,51.98251946482036,64.51550567259412
ODFL,Old Dominion Freight Line,63.409075872276745,66.98202619128747,60.458232606211745,52.85855618353575
ORCL,Oracle,71.7241629829199,47.49462710111519,44.22339116484051,62.56376028411778
OTIS,Otis Worldwide,50.31636511151228,77.57197513586271,66.59995827474611,39.186683501720836
PCAR,Paccar,51.3253122008187,76.24082358423185,76.40321341914999,38.92584857626611
PH,Parker-Hannifin,50.54947690420518,70.66815077926195,70.2649011559078,33.82879673376295
PAYX,Paychex,71.74486583763075,54.755849596075315,46.10372304724115,64.36275524492999
PAYC,Paycom,81.15951907750376,39.21127448048579,36.76001809930623,75.7212567594801
PYPL,PayPal,86.6504515077721,28.759265544187244,36.06745139957078,80.20217115608537
PNR,Pentair,59.20475747366248,71.63764071525395,59.97730646221677,44.97140803538651
PBCT,People's United Financial,30.76639995012538,78.3704324638883,83.77289761230091,42.494112161400686
PNC,PNC Financial Services,29.587847155308328,70.00601025674067,79.15937366307513,45.21863825394725
PFG,Principal Financial Group,37.01491830238152,63.63977419357575,65.95238456677515,52.93618626483547
PGR,Progressive Corporation,24.480460352523828,74.93036316449741,76.94585341564245,40.93865914757991
PRU,Prudential Financial,24.42885641085787,78.34232256106921,80.23034626643665,42.82573797883975
PTC,PTC,85.95998189194708,32.17121319886445,37.59038919113043,84.68433050647087
QRVO,Qorvo,81.28887475308791,38.10006989550861,37.91795319672375,78.1281046937535
QCOM,Qualcomm,75.24810403390964,41.828652361063526,39.178078376568905,66.73002148944163
PWR,Quanta Services,54.749695406658205,65.37244776993724,65.54680152795052,42.90250428184475
RJF,Raymond James Financial,34.660177835664655,70.7835484880767,80.59475200338171,44.72237609941651
RTX,Raytheon Technologies,50.53134288406592,75.34673532661458,71.47109055031225,38.443187435692266
RF,Regions Financial Corporation,23.709057224241015,71.57303310338715,79.20202956893003,37.13079309435411
RSG,Republic Services,54.319428715409614,80.24860407509927,66.74308649465738,44.12936338073979
RHI,Robert Half International,52.559400231246286,78.07130337412846,67.97064912809985,36.36909246352536
ROK,Rockwell Automation,57.354794788665714,76.53782303589855,58.30940387829657,53.703361769117784
ROL,Rollins,49.31387672191604,86.20996704555208,64.7575866667611,41.91279634301952
ROP,Roper Technologies,61.080950840506745,69.76605710639308,58.56920816834389,53.01611608894275
SPGI,S&P Global,33.69504720560708,69.60195180187677,71.34571457726868,51.75560796596862
CRM,Salesforce,92.24363714385076,27.6033484111582,31.06925649178902,85.92907616586477
STX,Seagate Technology,70.39189322893904,48.502756137268165,40.80619699386664,71.9743605273137
NOW,ServiceNow,72.28994035248333,44.05290412943948,38.47344681205701,69.74310713574856
SWKS,Skyworks Solutions,78.2102992763037,45.60263259928896,33.01094140274174,75.48694158397922
SNA,Snap-on,47.93122820870654,77.9095510265847,72.91847982413105,35.17807334289573
LUV,Southwest Airlines,58.14179609597144,76.23232908127859,65.75820513417378,53.01604003067472
SWK,Stanley Black & Decker,50.72584671401049,80.73673704009501,64.7179629258695,45.703777688393856
STT,State Street Corporation,31.85420550565307,71.52518066632696,77.12154417997412,46.224232065163314
SIVB,SVB Financial,30.489863755404123,66.8294840924806,71.1655083712245,32.977429916331374
SYF,Synchrony Financial,26.800380044541797,71.52208215675962,80.36136053448553,45.95032793908843
SNPS,Synopsys,79.2207189327419,37.54972744067782,42.018775965113825,75.80607615173754
TROW,T. Rowe Price,37.28414555411965,67.4234371091928,73.41133407503173,40.04840147200099
TEL,TE Connectivity,74.74170484564135,42.33353530601318,33.24337005144998,69.98900730776425
TDY,Teledyne Technologies,54.08921808175318,75.71308392181237,69.83557412460758,45.889756734106285
TER,Teradyne,80.76128637782563,41.75297441625275,34.95421501120271,75.12642472139963
TXN,Texas Instruments,85.04713376011244,32.90385041117706,35.466071915196906,88.37890627867915
TXT,Textron,56.05798277272444,75.64469773961865,67.27328531978138,47.613030122624906
HIG,The Hartford,25.38025951343946,71.96311697706115,77.11374567009696,36.27703032090442
TRV,The Travelers Companies,29.62241109072951,71.20432852407332,76.96431767922132,50.21685268036147
TT,Trane Technologies,52.824628620640226,68.70259498472758,68.38784738837593,44.588093708272055
TDG,TransDigm Group,62.0934545294326,63.80973591128189,63.02245864399949,53.87326069040855
TRMB,Trimble,84.75327708456692,32.901183898928544,31.05337431259607,79.66733700452986
TFC,Truist Financial,19.257826062798387,67.71423317567316,80.09294437762932,30.967396814716324
TYL,Tyler Technologies,74.5059717508808,46.93415091477336,38.51118601817363,75.57034994157003
USB,U.S. Bancorp,20.638430189502678,80.02318807413437,86.81840001794112,36.35908651734206
UNP,Union Pacific,47.44699140454857,84.22864057095335,71.84756075578628,39.88189421207295
UAL,United Airlines,61.03751116680465,63.32428016257776,64.65121474364697,44.117184862170994
UPS,United Parcel Service,62.988809239809754,66.5626793815336,61.868018596260484,50.56539327685916
URI,United Rentals,55.03936148115394,68.93859915051975,67.900756484949,37.19410552566898
VRSN,Verisign,85.95480037833222,28.61323116780635,27.682288993268713,76.05273673824885
VRSK,Verisk Analytics,48.48654346129327,82.74628918300218,75.71179542356253,39.73514589618017
V,Visa,79.19325494893408,39.69051597822641,37.84129416246254,74.02579107514394
WRB,W. R. Berkley Corporation,32.53118488515095,63.88254042095298,79.31082160210404,45.37352400793365
GWW,W. W. Grainger,53.419432853013745,71.83457399798448,68.30338958945062,37.32801750850028
WAB,Wabtec,52.316543336117974,75.31843845404165,76.62022256342499,35.79359529236574
WM,Waste Management,50.89593233610391,70.76798391746725,73.81828120424662,46.69777059601756
WFC,Wells Fargo,35.526302851481034,71.10837366321734,66.82452709186735,55.93557264875501
WDC,Western Digital,82.26608130140994,33.044730683453054,36.39221459559052,77.54858879910687
WU,Western Union,81.42895875003579,33.38649393811697,39.127391303404394,77.25732869352555
WLTW,Willis Towers Watson,24.39492163897013,69.52461179692497,83.49369348006954,36.377532694513505
XLNX,Xilinx,77.84777310846334,27.845200189126544,37.9657845303308,71.67585204940104
XYL,Xylem,56.997797701699994,72.80461311520581,62.26261711952064,53.62203991609179
ZBRA,Zebra Technologies,90.53361855747147,29.63828480646109,25.913442579357923,81.81925768512131
ZION,Zions Bancorp,33.61627119068713,65.85628983516935,66.67898567444121,42.68420567941303
