Symbol,Name,Sector,FirmV2017,FirmV2022
INFO,IHS Markit,Industrials,62156.43745703332,43318.12045
ITW,Illinois Tool Works,Industrials,41255.74702565395,65962.0905
IR,Ingersoll Rand,Industrials,8737.249419253629,20481.14483
INTC,Intel,Information Technology,110131.75265251768,195663.3805
ICE,Intercontinental Exchange,Financials,59867.39264033874,74763.71456
INTU,Intuit,Information Technology,111388.4418881242,137033.0071
IVZ,Invesco,Financials,6601.762032743714,10750.73536
IPGP,IPG Photonics,Information Technology,1748.9239539785485,5857.581568
JBHT,J. B. Hunt,Industrials,19688.359887659768,19061.0903
JKHY,Jack Henry & Associates,Information Technology,4080.6164635918726,14839.29702
J,Jacobs Engineering Group,Industrials,11762.583599929345,18069.04934
JCI,Johnson Controls,Industrials,19751.08419067551,46831.03437
JPM,JPMorgan Chase,Financials,398812.9887574575,409764.6592
JNPR,Juniper Networks,Information Technology,2985.9322828063514,11976.41626
KSU,Kansas City Southern,Industrials,,
KEY,KeyCorp,Financials,19402.88160216711,19929.99526
KEYS,Keysight Technologies,Information Technology,10026.136822340197,28824.84019
KLAC,KLA Corporation,Information Technology,13408.076221873827,54298.09562
LHX,L3Harris Technologies,Industrials,56324.39284691356,48878.51827
LRCX,Lam Research,Information Technology,81132.0900923076,73300.2793
LDOS,Leidos,Industrials,12136.512514005546,14765.83936
LNC,Lincoln National,Financials,18161.416833900454,11325.12051
LMT,Lockheed Martin,Industrials,89525.77773148085,121452.4047
L,Loews Corporation,Financials,7921.72520603104,16079.67334
MTB,M&T Bank,Financials,13670.884151706357,21250.36134
MKTX,MarketAxess,Financials,6965.907605193664,12842.84826
MMC,Marsh & McLennan,Financials,56740.009102144955,86314.86874
MAS,Masco,Industrials,12630.928409584536,12192.81203
MA,Mastercard,Information Technology,84857.47292599273,358591.5945
MET,MetLife,Financials,31716.594093065072,58168.00051
MCHP,Microchip Technology,Information Technology,24322.398701931445,41126.65395
MU,Micron Technology,Information Technology,85328.87493389295,85067.91526
MSFT,Microsoft,Information Technology,2054121.309454723,2319681.585
MPWR,Monolithic Power Systems,Information Technology,4106.462892075888,21561.57338
MCO,Moody's Corporation,Financials,34311.11948796548,63089.34861
MS,Morgan Stanley,Financials,87774.79389719138,154955.2845
MSI,Motorola Solutions,Information Technology,12060.849041083433,40057.29075
MSCI,MSCI,Financials,37856.79386582734,41934.2377
NDAQ,Nasdaq,Financials,10992.997591953486,29909.83168
NTAP,NetApp,Information Technology,10888.341003717258,18292.45952
NLSN,Nielsen Holdings,Industrials,14051.219377764746,9830.409216
NSC,Norfolk Southern,Industrials,68187.9838481608,68945.33837
NTRS,Northern Trust,Financials,15875.167269937529,24027.93062
NOC,Northrop Grumman,Industrials,29844.171014759315,70993.63328
NLOK,NortonLifeLock,Information Technology,10275.437216516748,15675.33568
NVDA,Nvidia,Information Technology,478806.4624965895,665663.0456
NXPI,NXP,Information Technology,16366.596308732205,47787.16774
ODFL,Old Dominion Freight Line,Industrials,14554.455607251615,31989.62483
ORCL,Oracle,Information Technology,81956.06733362938,219003.6009
OTIS,Otis Worldwide,Industrials,17995.79383746669,32416.10035
PCAR,Paccar,Industrials,17384.043850861006,29628.86451
PH,Parker-Hannifin,Industrials,26120.43520175587,36256.49357
PAYX,Paychex,Information Technology,30622.31909883685,50134.4297
PAYC,Paycom,Information Technology,7702.216537545308,21133.73389
PYPL,PayPal,Information Technology,65280.87139243989,135920.5417
PNR,Pentair,Industrials,6113.292232891553,9077.151744
PBCT,People's United Financial,Financials,8102.626140468466,8371.843584
PNC,PNC Financial Services,Financials,90277.55048745422,75798.9376
PFG,Principal Financial Group,Financials,13354.845371367648,19302.13581
PGR,Progressive Corporation,Financials,43643.82193591625,67372.21222
PRU,Prudential Financial,Financials,22237.94220359775,44568.83814
PTC,PTC,Information Technology,8373.527562329175,12486.96422
QRVO,Qorvo,Information Technology,5432.917977850405,13175.57248
QCOM,Qualcomm,Information Technology,50704.764090715085,165657.7393
PWR,Quanta Services,Industrials,10885.584030919685,18780.85632
RJF,Raymond James Financial,Financials,13064.145496721167,22616.1623
RTX,Raytheon Technologies,Industrials,49301.87878373452,149486.6985
RF,Regions Financial Corporation,Financials,11388.99530484128,20120.52275
RSG,Republic Services,Industrials,39144.192817427334,42078.48243
RHI,Robert Half International,Industrials,9835.584274336014,12577.2503
ROK,Rockwell Automation,Industrials,68557.85796262817,33055.43885
ROL,Rollins,Industrials,10789.7360789644,17142.53312
ROP,Roper Technologies,Industrials,67718.5254582743,50367.35283
SPGI,S&P Global,Financials,64815.88346464404,141545.3737
CRM,Salesforce,Information Technology,70583.30768086239,210127.5034
STX,Seagate Technology,Information Technology,15017.866790630957,19573.8583
NOW,ServiceNow,Information Technology,48574.071416835606,109738.0004
SWKS,Skyworks Solutions,Information Technology,16316.905038022884,21345.42336
SNA,Snap-on,Industrials,9817.083946453837,10885.44256
LUV,Southwest Airlines,Industrials,11998.547256146232,27194.42125
SWK,Stanley Black & Decker,Industrials,21462.92718444169,23024.60928
STT,State Street Corporation,Financials,26254.993265453057,31412.20966
SIVB,SVB Financial,Financials,14446.423036783577,32212.95923
SYF,Synchrony Financial,Financials,13703.962488453248,18327.92269
SNPS,Synopsys,Information Technology,49644.85162165879,51285.10669
TROW,T. Rowe Price,Financials,42242.008176827905,34823.03693
TEL,TE Connectivity,Information Technology,10643.22473891681,42917.29818
TDY,Teledyne Technologies,Industrials,18623.106671909038,22181.0176
TER,Teradyne,Information Technology,11155.22321588614,18900.46566
TXN,Texas Instruments,Information Technology,40653.06347362724,168159.445
TXT,Textron,Industrials,15814.881623525598,15798.5065
HIG,The Hartford,Financials,14001.40427309628,24057.67373
TRV,The Travelers Companies,Financials,19000.204905191473,44738.06029
TT,Trane Technologies,Industrials,21488.663886933893,36163.35872
TDG,TransDigm Group,Industrials,22501.809298278396,36995.43654
TRMB,Trimble,Information Technology,6730.907337097968,18283.49952
TFC,Truist Financial,Financials,48438.724711198854,73533.01402
TYL,Tyler Technologies,Information Technology,7364.735625942049,18356.43085
USB,U.S. Bancorp,Financials,54069.796016028165,78558.6176
UNP,Union Pacific,Industrials,101099.70472872417,163355.476
UAL,United Airlines,Industrials,6432.364885631199,14861.37754
UPS,United Parcel Service,Industrials,81695.12067578711,179987.9885
URI,United Rentals,Industrials,18194.438618520697,25556.00282
VRSN,Verisign,Information Technology,12374.423987921513,24817.31994
VRSK,Verisk Analytics,Industrials,25498.68377423866,34533.91667
V,Visa,Information Technology,163291.7771222119,490191.6508
WRB,W. R. Berkley Corporation,Financials,19996.300526340023,17849.66963
GWW,W. W. Grainger,Industrials,41120.913244057985,26447.94368
WAB,Wabtec,Industrials,8134.908364233979,17684.07859
WM,Waste Management,Industrials,68831.03716156312,66346.71718
WFC,Wells Fargo,Financials,98725.19286564573,185807.2084
WDC,Western Digital,Information Technology,8893.076038093022,15142.10304
WU,Western Union,Information Technology,3520.6574811074397,7560.126976
WLTW,Willis Towers Watson,Financials,,
XLNX,Xilinx,Information Technology,,
XYL,Xylem,Industrials,23091.03367826333,15529.41978
ZBRA,Zebra Technologies,Information Technology,12428.213497813264,21960.66509
ZION,Zions Bancorp,Financials,5384.508375124416,9766.785024
